19:28:01.588 |I| Core                           | RequestBuilder thread:8        | MsBuild process with Id = 2964
19:28:01.589 |I| Core                           | RequestBuilder thread:8        | MsBuild location = C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\MSBuild.exe
19:28:01.589 |I| Core                           | RequestBuilder thread:8        | 
19:28:01.589 |I| Core                           | RequestBuilder thread:8        | Start ControllerTask...
19:28:01.589 |I| Core                           | RequestBuilder thread:8        | Detected version: 17.6
19:28:01.589 |I| Core                           | RequestBuilder thread:8        | Creating SocketWire with port = 57782
19:28:01.603 |I| Core                           | RequestBuilder thread:8        | Create protocol...
19:28:01.636 |I| Core                           | RequestBuilder thread:8        | Create MsBuildModel and advise for new sessions...
19:28:01.654 |I| Core                           | RequestBuilder thread:8        | Subscribe for changes...
19:28:01.655 |I| Core                           | RequestBuilder thread:8        | Setup process watchdog...
19:28:01.656 |I| Core                           | RequestBuilder thread:8        | Run dispatcher...
19:28:01.656 |I| ProcessWatchdog                | WatchParentPid:24540:12        | Monitoring parent process PID:24540
19:28:01.736 |I| Core                           | RequestBuilder thread:8        | Get protocol session 'RdProjectModelSession'
19:28:01.740 |I| Core                           | RequestBuilder thread:8        | Msbuild session 'ProjectModelSessionHost' created
19:28:01.773 |I| ProjectModel                   | RequestBuilder thread:8        | Reloading 22 project(s) in 1 node(s)...
19:28:01.779 |I| Build                          | MSBuild LoggingService events queue pump: 62495167:14 | Build started.
19:28:02.355 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'UnityEngine.TestRunner.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
19:28:02.357 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: UnityEngine.TestRunner.csproj
19:28:02.358 |I| Build                          | RequestBuilder thread:8        | Start build 'UnityEngine.TestRunner.csproj' with 1 target frameworks
19:28:02.360 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
19:28:02.363 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'Unity.Timeline.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
19:28:02.363 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'UnityEngine.UI.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
19:28:02.363 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: UnityEngine.UI.csproj
19:28:02.363 |I| Build                          | RequestBuilder thread:8        | Start build 'UnityEngine.UI.csproj' with 1 target frameworks
19:28:02.370 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
