19:44:23.674 |I| Core                           | RequestBuilder thread:8        | MsBuild process with Id = 19964
19:44:23.675 |I| Core                           | RequestBuilder thread:8        | MsBuild location = C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\MSBuild.exe
19:44:23.675 |I| Core                           | RequestBuilder thread:8        | 
19:44:23.675 |I| Core                           | RequestBuilder thread:8        | Start ControllerTask...
19:44:23.675 |I| Core                           | RequestBuilder thread:8        | Detected version: 17.6
19:44:23.675 |I| Core                           | RequestBuilder thread:8        | Creating SocketWire with port = 58047
19:44:23.689 |I| Core                           | RequestBuilder thread:8        | Create protocol...
19:44:23.718 |I| Core                           | RequestBuilder thread:8        | Create MsBuildModel and advise for new sessions...
19:44:23.738 |I| Core                           | RequestBuilder thread:8        | Subscribe for changes...
19:44:23.738 |I| Core                           | RequestBuilder thread:8        | Setup process watchdog...
19:44:23.739 |I| Core                           | RequestBuilder thread:8        | Run dispatcher...
19:44:23.740 |I| ProcessWatchdog                | WatchParentPid:8524:12         | Monitoring parent process PID:8524
19:44:23.794 |I| Core                           | RequestBuilder thread:8        | Get protocol session 'RdProjectModelSession'
19:44:23.798 |I| Core                           | RequestBuilder thread:8        | Msbuild session 'ProjectModelSessionHost' created
19:44:23.828 |I| ProjectModel                   | RequestBuilder thread:8        | Reloading 22 project(s) in 1 node(s)...
19:44:23.834 |I| Build                          | MSBuild LoggingService events queue pump: 62495167:14 | Build started.
19:44:24.284 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'UnityEngine.TestRunner.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
19:44:24.286 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: UnityEngine.TestRunner.csproj
19:44:24.288 |I| Build                          | RequestBuilder thread:8        | Start build 'UnityEngine.TestRunner.csproj' with 1 target frameworks
19:44:24.290 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
19:44:24.292 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'Unity.Timeline.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
19:44:24.292 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'UnityEngine.UI.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
19:44:24.293 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: UnityEngine.UI.csproj
19:44:24.293 |I| Build                          | RequestBuilder thread:8        | Start build 'UnityEngine.UI.csproj' with 1 target frameworks
