19:27:56.205 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
19:27:56.217 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
19:27:56.228 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
19:27:56.228 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
19:27:56.228 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_00005FDC (PID-specific).
19:27:56.228 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_00005FDC (PID-specific) has no value.
19:27:56.228 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
19:27:56.256 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=31ms
19:27:56.256 |V| JetEnvironment                | :1                 | HostInit phase completed.
19:27:56.256 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
19:27:56.274 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir “D:\ProgrammeerProjects\Unity\2023\driving-sandbox-1\first-try\Driving sandbox\Library\RiderFlow\2022.1.5.248\Backend~\bin”.
19:27:56.286 |V| DeployedPackages              | :1                 | Scanning folder “D:\ProgrammeerProjects\Unity\2023\driving-sandbox-1\first-try\Driving sandbox\Library\RiderFlow\2022.1.5.248\Backend~\bin” for Deployed Packages. Picking nugets? True!
