14:11:23.768 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
14:11:23.782 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
14:11:23.792 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
14:11:23.792 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
14:11:23.792 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_00008820 (PID-specific).
14:11:23.792 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_00008820 (PID-specific) has no value.
14:11:23.792 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
14:11:23.847 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=59ms
14:11:23.848 |V| JetEnvironment                | :1                 | HostInit phase completed.
14:11:23.848 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
14:11:24.105 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir “D:\ProgrammeerProjects\Unity\2023\driving-sandbox-1\first-try\Driving sandbox\Library\RiderFlow\2022.1.5.248\Backend~\bin”.
14:11:24.194 |V| DeployedPackages              | :1                 | Scanning folder “D:\ProgrammeerProjects\Unity\2023\driving-sandbox-1\first-try\Driving sandbox\Library\RiderFlow\2022.1.5.248\Backend~\bin” for Deployed Packages. Picking nugets? True!
