22:10:46.870 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
22:10:46.882 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
22:10:46.889 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
22:10:46.889 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
22:10:46.889 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_000031A0 (PID-specific).
22:10:46.889 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_000031A0 (PID-specific) has no value.
22:10:46.889 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
22:10:46.927 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=39ms
22:10:46.927 |V| JetEnvironment                | :1                 | HostInit phase completed.
22:10:46.927 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
22:10:46.945 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir “D:\ProgrammeerProjects\Unity\2023\driving-sandbox-1\first-try\Driving sandbox\Library\RiderFlow\2022.1.5.248\Backend~\bin”.
22:10:46.954 |V| DeployedPackages              | :1                 | Scanning folder “D:\ProgrammeerProjects\Unity\2023\driving-sandbox-1\first-try\Driving sandbox\Library\RiderFlow\2022.1.5.248\Backend~\bin” for Deployed Packages. Picking nugets? True!
