20:28:59.632 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
20:28:59.642 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
20:28:59.653 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
20:28:59.653 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
20:28:59.654 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_00007064 (PID-specific).
20:28:59.654 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_00007064 (PID-specific) has no value.
20:28:59.654 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
20:28:59.731 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=79ms
20:28:59.731 |V| JetEnvironment                | :1                 | HostInit phase completed.
20:28:59.731 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
20:28:59.990 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir “D:\ProgrammeerProjects\Unity\2023\driving-sandbox-1\first-try\Driving sandbox\Library\RiderFlow\2022.1.5.248\Backend~\bin”.
20:29:00.094 |V| DeployedPackages              | :1                 | Scanning folder “D:\ProgrammeerProjects\Unity\2023\driving-sandbox-1\first-try\Driving sandbox\Library\RiderFlow\2022.1.5.248\Backend~\bin” for Deployed Packages. Picking nugets? True!
