19:15:25.941 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
19:15:25.952 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
19:15:25.958 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
19:15:25.958 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
19:15:25.958 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_00008D34 (PID-specific).
19:15:25.958 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_00008D34 (PID-specific) has no value.
19:15:25.958 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
19:15:25.995 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=37ms
19:15:25.995 |V| JetEnvironment                | :1                 | HostInit phase completed.
19:15:25.995 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
19:15:26.020 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir “D:\ProgrammeerProjects\Unity\2023\driving-sandbox-1\first-try\Driving sandbox\Library\RiderFlow\2022.1.5.248\Backend~\bin”.
19:15:26.028 |V| DeployedPackages              | :1                 | Scanning folder “D:\ProgrammeerProjects\Unity\2023\driving-sandbox-1\first-try\Driving sandbox\Library\RiderFlow\2022.1.5.248\Backend~\bin” for Deployed Packages. Picking nugets? True!
