19:44:19.500 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
19:44:19.513 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
19:44:19.519 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
19:44:19.519 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
19:44:19.519 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_0000214C (PID-specific).
19:44:19.519 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_0000214C (PID-specific) has no value.
19:44:19.519 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
19:44:19.548 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=29ms
19:44:19.548 |V| JetEnvironment                | :1                 | HostInit phase completed.
19:44:19.548 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
19:44:19.558 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir “D:\ProgrammeerProjects\Unity\2023\driving-sandbox-1\first-try\Driving sandbox\Library\RiderFlow\2022.1.5.248\Backend~\bin”.
19:44:19.565 |V| DeployedPackages              | :1                 | Scanning folder “D:\ProgrammeerProjects\Unity\2023\driving-sandbox-1\first-try\Driving sandbox\Library\RiderFlow\2022.1.5.248\Backend~\bin” for Deployed Packages. Picking nugets? True!
